0,-13,-13,-13,-13,-13,-13,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-127
-13,0,-13,-13,-13,-13,-13,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,-127
-13,-13,0,-13,-13,-13,-13,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,-127
-13,-13,-13,0,-13,-13,-13,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,-127
-13,-13,-13,-13,0,-13,-13,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,-127
-13,-13,-13,-13,-13,0,-13,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,-127
-13,-13,-13,-13,-13,-13,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,-127
-13,0,0,0,0,0,0,0,-13,-13,-13,-13,-13,-13,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-126
0,-13,0,0,0,0,0,-13,0,-13,-13,-13,-13,-13,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,-127
0,0,-13,0,0,0,0,-13,-13,0,-13,-13,-13,-13,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,-127
0,0,0,-13,0,0,0,-13,-13,-13,0,-13,-13,-13,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,-127
0,0,0,0,-13,0,0,-13,-13,-13,-13,0,-13,-13,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,0,0,0,0,-13,0,0,-127
