row_i,col_j,value
0,0,-399.0
0,1,400.0
0,2,400.0
0,3,400.0
0,4,400.0
0,5,400.0
0,6,400.0
0,7,400.0
0,8,400.0
0,9,4.0
0,16,400.0
0,17,5.0
0,24,400.0
0,25,6.0
0,32,400.0
0,33,5.0
0,40,400.0
0,41,5.0
0,48,400.0
0,49,4.0
0,56,400.0
0,57,2.0
1,1,-400.0
1,2,400.0
1,3,400.0
1,4,400.0
1,5,400.0
1,6,400.0
1,7,400.0
1,8,4.0
1,9,400.0
1,10,4.0
1,16,5.0
1,17,400.0
1,18,5.0
1,24,6.0
1,25,400.0
1,26,6.0
1,32,5.0
1,33,400.0
1,34,5.0
1,40,5.0
1,41,400.0
1,42,5.0
1,48,4.0
1,49,400.0
1,50,4.0
1,56,2.0
1,57,400.0
1,58,2.0
2,2,-400.0
2,3,400.0
2,4,400.0
2,5,400.0
2,6,400.0
2,7,400.0
2,9,4.0
2,10,400.0
2,11,4.0
2,17,5.0
2,18,400.0
2,19,5.0
2,25,6.0
2,26,400.0
2,27,6.0
2,33,5.0
2,34,400.0
2,35,5.0
2,41,5.0
2,42,400.0
2,43,5.0
2,49,4.0
2,50,400.0
2,51,4.0
2,57,2.0
2,58,400.0
2,59,2.0
3,3,-400.0
3,4,400.0
3,5,400.0
3,6,400.0
3,7,400.0
3,10,4.0
3,11,400.0
3,12,4.0
3,18,5.0
3,19,400.0
3,20,5.0
3,26,6.0
3,27,400.0
3,28,6.0
3,34,5.0
3,35,400.0
3,36,5.0
3,42,5.0
3,43,400.0
3,44,5.0
3,50,4.0
3,51,400.0
3,52,4.0
3,58,2.0
3,59,400.0
3,60,2.0
4,4,-400.0
4,5,400.0
4,6,400.0
4,7,400.0
4,11,4.0
4,12,400.0
4,13,4.0
4,19,5.0
4,20,400.0
4,21,5.0
4,27,6.0
4,28,400.0
4,29,6.0
4,35,5.0
4,36,400.0
4,37,5.0
4,43,5.0
4,44,400.0
4,45,5.0
4,51,4.0
4,52,400.0
4,53,4.0
4,59,2.0
4,60,400.0
4,61,2.0
5,5,-400.0
5,6,400.0
5,7,400.0
5,12,4.0
5,13,400.0
5,14,4.0
5,20,5.0
5,21,400.0
5,22,5.0
5,28,6.0
5,29,400.0
5,30,6.0
5,36,5.0
5,37,400.0
5,38,5.0
5,44,5.0
5,45,400.0
5,46,5.0
5,52,4.0
5,53,400.0
5,54,4.0
5,60,2.0
5,61,400.0
5,62,2.0
6,6,-400.0
6,7,400.0
6,13,4.0
6,14,400.0
6,15,4.0
6,21,5.0
6,22,400.0
6,23,5.0
6,29,6.0
6,30,400.0
6,31,6.0
6,37,5.0
6,38,400.0
6,39,5.0
6,45,5.0
6,46,400.0
6,47,5.0
6,53,4.0
6,54,400.0
6,55,4.0
6,61,2.0
6,62,400.0
6,63,2.0
7,7,-399.0
7,14,4.0
7,15,400.0
7,22,5.0
7,23,400.0
7,30,6.0
7,31,400.0
7,38,5.0
7,39,400.0
7,46,5.0
7,47,400.0
7,54,4.0
7,55,400.0
7,62,2.0
7,63,400.0
8,8,-396.0
8,9,400.0
8,10,400.0
8,11,400.0
8,12,400.0
8,13,400.0
8,14,400.0
8,15,400.0
8,16,400.0
8,17,1.0
8,24,400.0
8,25,2.0
8,32,400.0
8,33,1.0
8,40,400.0
8,41,3.0
8,48,400.0
8,49,2.0
8,56,400.0
8,57,3.0
9,9,-400.0
9,10,400.0
