row_i,col_j,value
0,0,-399.0
0,1,400.0
0,2,400.0
0,3,400.0
0,4,400.0
0,5,400.0
0,6,400.0
0,7,400.0
0,8,400.0
0,9,400.0
0,10,400.0
0,11,400.0
0,12,400.0
0,13,400.0
0,14,400.0
0,15,400.0
0,16,400.0
0,17,400.0
0,18,1.0
0,34,400.0
0,35,1.0
0,51,400.0
0,52,1.0
0,68,400.0
0,69,3.0
0,85,400.0
0,86,2.0
0,102,400.0
0,103,2.0
0,119,400.0
0,120,3.0
0,136,400.0
0,137,4.0
0,153,400.0
0,154,6.0
0,170,400.0
0,171,6.0
0,187,400.0
0,188,7.0
0,204,400.0
0,205,8.0
0,221,400.0
0,222,7.0
0,238,400.0
0,239,6.0
0,255,400.0
0,256,7.0
0,272,400.0
0,273,8.0
1,1,-400.0
1,2,400.0
1,3,400.0
1,4,400.0
1,5,400.0
1,6,400.0
1,7,400.0
1,8,400.0
1,9,400.0
1,10,400.0
1,11,400.0
1,12,400.0
1,13,400.0
1,14,400.0
1,15,400.0
1,16,400.0
1,17,1.0
1,18,400.0
1,19,1.0
1,34,1.0
1,35,400.0
1,36,1.0
1,51,1.0
1,52,400.0
1,53,1.0
1,68,3.0
1,69,400.0
1,70,3.0
1,85,2.0
1,86,400.0
1,87,2.0
1,102,2.0
1,103,400.0
1,104,2.0
1,119,3.0
1,120,400.0
1,121,3.0
1,136,4.0
1,137,400.0
1,138,4.0
1,153,6.0
1,154,400.0
1,155,6.0
1,170,6.0
1,171,400.0
1,172,6.0
1,187,7.0
1,188,400.0
1,189,7.0
1,204,8.0
1,205,400.0
1,206,8.0
1,221,7.0
1,222,400.0
1,223,7.0
1,238,6.0
1,239,400.0
1,240,6.0
1,255,7.0
1,256,400.0
1,257,7.0
1,272,8.0
1,273,400.0
1,274,8.0
2,2,-400.0
2,3,400.0
2,4,400.0
2,5,400.0
2,6,400.0
2,7,400.0
2,8,400.0
2,9,400.0
2,10,400.0
2,11,400.0
2,12,400.0
2,13,400.0
2,14,400.0
2,15,400.0
2,16,400.0
2,18,1.0
2,19,400.0
2,20,1.0
2,35,1.0
2,36,400.0
2,37,1.0
2,52,1.0
2,53,400.0
2,54,1.0
2,69,3.0
2,70,400.0
2,71,3.0
2,86,2.0
2,87,400.0
2,88,2.0
2,103,2.0
2,104,400.0
2,105,2.0
2,120,3.0
2,121,400.0
2,122,3.0
2,137,4.0
2,138,400.0
2,139,4.0
2,154,6.0
2,155,400.0
2,156,6.0
2,171,6.0
2,172,400.0
2,173,6.0
2,188,7.0
2,189,400.0
2,190,7.0
2,205,8.0
2,206,400.0
2,207,8.0
2,222,7.0
2,223,400.0
2,224,7.0
2,239,6.0
2,240,400.0
2,241,6.0
2,256,7.0
2,257,400.0
2,258,7.0
2,273,8.0
2,274,400.0
2,275,8.0
3,3,-400.0
3,4,400.0
3,5,400.0
3,6,400.0
3,7,400.0
3,8,400.0
3,9,400.0
3,10,400.0
3,11,400.0
3,12,400.0
3,13,400.0
3,14,400.0
3,15,400.0
3,16,400.0
3,19,1.0
3,20,400.0
3,21,1.0
3,36,1.0
3,37,400.0
3,38,1.0
3,53,1.0
3,54,400.0
3,55,1.0
3,70,3.0
3,71,400.0
3,72,3.0
3,87,2.0
3,88,400.0
3,89,2.0
3,104,2.0
3,105,400.0
3,106,2.0
3,121,3.0
3,122,400.0
3,123,3.0
3,138,4.0
3,139,400.0
