row_i,col_j,value
0,0,-56
0,1,80
0,2,80
0,3,80
0,4,80
0,5,80
0,6,80
0,7,80
0,8,80
0,16,80
0,24,80
0,32,80
0,40,80
0,48,80
0,56,80
1,1,-52
1,2,80
1,3,80
1,4,80
1,5,80
1,6,80
1,7,80
1,9,80
1,17,80
1,25,80
1,33,80
1,41,80
1,49,80
1,57,80
2,2,-52
2,3,80
2,4,80
2,5,80
2,6,80
2,7,80
2,10,80
2,18,80
2,26,80
2,34,80
2,42,80
2,50,80
2,58,80
3,3,-52
3,4,80
3,5,80
3,6,80
3,7,80
3,11,80
3,19,80
3,27,80
3,35,80
3,43,80
3,51,80
3,59,80
4,4,-52
4,5,80
4,6,80
4,7,80
4,12,80
4,20,80
4,28,80
4,36,80
4,44,80
4,52,80
4,60,80
5,5,-52
5,6,80
5,7,80
5,13,80
5,21,80
5,29,80
5,37,80
5,45,80
5,53,80
5,61,80
6,6,-52
6,7,80
6,14,80
6,22,80
6,30,80
6,38,80
6,46,80
6,54,80
6,62,80
7,7,-56
7,15,80
7,23,80
7,31,80
7,39,80
7,47,80
7,55,80
7,63,80
8,8,-56
8,9,80
8,10,80
8,11,80
8,12,80
8,13,80
8,14,80
8,15,80
8,16,80
8,24,80
8,32,80
8,40,80
8,48,80
8,56,80
9,9,-56
9,10,80
9,11,80
9,12,80
9,13,80
9,14,80
9,15,80
9,17,80
9,25,80
9,33,80
9,41,80
9,49,80
9,57,80
10,10,-56
10,11,80
10,12,80
10,13,80
10,14,80
10,15,80
10,18,80
10,26,80
10,34,80
10,42,80
10,50,80
10,58,80
11,11,-56
11,12,80
11,13,80
11,14,80
11,15,80
11,19,80
11,27,80
11,35,80
11,43,80
11,51,80
11,59,80
12,12,-56
12,13,80
12,14,80
12,15,80
12,20,80
12,28,80
12,36,80
12,44,80
12,52,80
12,60,80
13,13,-56
13,14,80
13,15,80
13,21,80
13,29,80
13,37,80
13,45,80
13,53,80
13,61,80
14,14,-56
14,15,80
14,22,80
14,30,80
14,38,80
14,46,80
14,54,80
14,62,80
15,15,-56
15,23,80
15,31,80
15,39,80
15,47,80
15,55,80
15,63,80
16,16,-56
16,17,80
16,18,80
16,19,80
16,20,80
16,21,80
16,22,80
16,23,80
16,24,80
16,32,80
16,40,80
16,48,80
16,56,80
17,17,-56
17,18,80
17,19,80
17,20,80
17,21,80
17,22,80
17,23,80
17,25,80
17,33,80
17,41,80
17,49,80
17,57,80
18,18,-56
18,19,80
18,20,80
18,21,80
18,22,80
18,23,80
18,26,80
18,34,80
18,42,80
18,50,80
18,58,80
19,19,-56
19,20,80
19,21,80
19,22,80
19,23,80
19,27,80
19,35,80
19,43,80
19,51,80
19,59,80
20,20,-56
20,21,80
20,22,80
20,23,80
20,28,80
20,36,80
20,44,80
20,52,80
20,60,80
21,21,-56
21,22,80
21,23,80
21,29,80
21,37,80
21,45,80
21,53,80
21,61,80
22,22,-56
22,23,80
22,30,80
22,38,80
22,46,80
22,54,80
22,62,80
23,23,-56
23,31,80
23,39,80
23,47,80
23,55,80
23,63,80
24,24,-56
24,25,80
24,26,80
24,27,80
24,28,80
24,29,80
24,30,80
24,31,80
24,32,80
24,40,80
24,48,80
24,56,80
25,25,-56
25,26,80
25,27,80
25,28,80
25,29,80
25,30,80
25,31,80
25,33,80
25,41,80
25,49,80
25,57,80
26,26,-56
26,27,80
26,28,80
26,29,80
26,30,80
26,31,80
26,34,80
26,42,80
26,50,80
26,58,80
27,27,-56
27,28,80
27,29,80
27,30,80
27,31,80
27,35,80
27,43,80
27,51,80
27,59,80
28,28,-56
28,29,80
28,30,80
28,31,80
28,36,80
28,44,80
28,52,80
28,60,80
29,29,-56
29,30,80
29,31,80
29,37,80
29,45,80
29,53,80
29,61,80
30,30,-56
30,31,80
30,38,80
30,46,80
30,54,80
30,62,80
31,31,-56
31,39,80
31,47,80
31,55,80
31,63,80
32,32,-56
32,33,80
32,34,80
32,35,80
32,36,80
32,37,80
32,38,80
32,39,80
32,40,80
32,48,80
32,56,80
33,33,-56
33,34,80
33,35,80
33,36,80
33,37,80
33,38,80
33,39,80
33,41,80
33,49,80
33,57,80
34,34,-56
34,35,80
34,36,80
34,37,80
34,38,80
34,39,80
34,42,80
34,50,80
34,58,80
35,35,-56
35,36,80
35,37,80
35,38,80
35,39,80
35,43,80
35,51,80
35,59,80
36,36,-56
36,37,80
36,38,80
36,39,80
36,44,80
36,52,80
36,60,80
37,37,-56
37,38,80
37,39,80
37,45,80
37,53,80
37,61,80
38,38,-56
38,39,80
38,46,80
38,54,80
38,62,80
39,39,-56
39,47,80
39,55,80
39,63,80
40,40,-56
40,41,80
40,42,80
40,43,80
40,44,80
40,45,80
40,46,80
40,47,80
40,48,80
40,56,80
41,41,-56
41,42,80
41,43,80
41,44,80
41,45,80
41,46,80
41,47,80
41,49,80
41,57,80
42,42,-56
42,43,80
42,44,80
42,45,80
42,46,80
42,47,80
42,50,80
42,58,80
43,43,-56
43,44,80
43,45,80
43,46,80
43,47,80
43,51,80
43,59,80
44,44,-56
44,45,80
44,46,80
44,47,80
44,52,80
44,60,80
45,45,-56
45,46,80
45,47,80
45,53,80
45,61,80
46,46,-56
46,47,80
46,54,80
46,62,80
47,47,-56
47,55,80
47,63,80
48,48,-56
48,49,80
48,50,80
48,51,80
48,52,80
48,53,80
48,54,80
48,55,80
48,56,80
49,49,-56
49,50,80
49,51,80
49,52,80
49,53,80
49,54,80
49,55,80
49,57,80
50,50,-56
50,51,80
50,52,80
50,53,80
50,54,80
50,55,80
50,58,80
51,51,-56
51,52,80
51,53,80
51,54,80
51,55,80
51,59,80
52,52,-56
52,53,80
52,54,80
52,55,80
52,60,80
53,53,-56
53,54,80
53,55,80
53,61,80
54,54,-56
54,55,80
54,62,80
55,55,-56
55,63,80
56,56,-56
56,57,80
56,58,80
56,59,80
56,60,80
56,61,80
56,62,80
56,63,80
57,57,-56
57,58,80
57,59,80
57,60,80
57,61,80
57,62,80
57,63,80
58,58,-56
58,59,80
58,60,80
58,61,80
58,62,80
58,63,80
59,59,-56
59,60,80
59,61,80
59,62,80
59,63,80
60,60,-56
60,61,80
60,62,80
60,63,80
61,61,-56
61,62,80
61,63,80
62,62,-56
62,63,80
63,63,-56
